prognosticator_slug,prognosticator_name,location,prognosticator_type,prognosticator_status,prognosticator_creature,prognosticator_phylum,prognosticator_class,prognosticator_order
Little-Hog,Little Hog,"Indianapolis, IN",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Lucy-the-Lobster,Lucy the Lobster,"Barrington Passage, NS",Lobster,Creature,Lobster,Arthropoda,Malacostraca,Decapoda
Luna-Hedgehog,Luna,"Chattanooga, TN",Hedgehog,Creature,Hedgehog,Chordata,Mammalia,Eulipotyphla
Lux-the-Skunk,Lux the Skunk,"Newport News, VA",Skunk,Creature,Skunk,Chordata,Mammalia,Carnivora
Madoc-Mike,Madoc Mike,"Madoc, ON",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Major,Major,"Mount Washington, KY",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Malverne-Mel,Malverne Mel,"Malverne, NY",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Manitoba-Merv,Manitoba Merv,"Winnipeg, MB",Groundhog puppet,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Mayzie-the-Hedgehog,Mayzie,"Portland, OR",Hedgehog,Creature,Hedgehog,Chordata,Mammalia,Eulipotyphla
Middlemiss-Mike,Middlemiss Mike and family,"Melbourne, ON",Stuffed groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Millie,Millie,"West Orange, NJ",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Millie-the-Hedgehog,Millie the Hedgehog,"Jacksonville, FL",Hedgehog,Creature,Hedgehog,Chordata,Mammalia,Eulipotyphla
Milltown-Mel,Milltown Mel,"Milltown, NJ",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Milwaukee-Nigerian-Dwarf-Goats,Milwaukee County Zoo Nigerian Dwarf Goats,"Milwaukee, WI",Nigerian Dwarf Goats,Creature,Goat,Chordata,Mammalia,Artiodactyla
Milwaukee-Penguins,Milwaukee County Zoo Penguins,"Milwaukee, WI",Humboldt penguins,Creature,Penguin,Chordata,Aves,Sphenisciformes
Minnie-the-skunk,Minnie the skunk,"Racine, WI",Skunk,Creature,Skunk,Chordata,Mammalia,Carnivora
Miss-Lottie,Miss Lottie,"Charlotte, NC",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Mojave-Maxine,Mojave Maxine,"Palm Desert, CA",Desert Tortoise,Creature,Desert Tortoise,Chordata,Reptilia,Testudines
Mokie,Mokie,"West Palm Beach, FL",Sun bear,Creature,Bear,Chordata,Mammalia,Carnivora
Mokie-and-Sunny,Mokie and Sunny,"West Palm Beach, FL",Sun bears,Creature,Bear,Chordata,Mammalia,Carnivora
Mona,Mona,"Schnecksville, PA",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Mona-3,Mona III,"St. Louis, MO",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Monty,Monty,"Harrisburg, PA",Dog dressed as a bear pretending to be a groundhog,Creature,Dog,Chordata,Mammalia,Carnivora
Mortimer,Mortimer,"Garner, NC",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Mt-Gretna-Grady,Mount Gretna Grady,"Mt. Gretna, PA",Groundhog puppet,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Mount-Joy-Minnie,Mount Joy Minnie,"Mount Joy, PA",Stuffed Groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Zac,Mr. Prozac,"Oxford, MI",Llama,Creature,Llama,Chordata,Mammalia,Artiodactyla
Ms_G,Ms. G,"Lincoln, MA",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Ms-Prickle-Pants,Ms. Prickle Pants,"Cape May Court House, NJ",Hedgehog,Creature,Hedgehog,Chordata,Mammalia,Eulipotyphla
MT-Parker,MT Parker,"Lancaster, PA",Stuffed Groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Murray-the-Groundhog,Murray the Groundhog,"Alton, IL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Nacho,Nacho,"Buda, TX",Dachshund,Creature,Dog,Chordata,Mammalia,Carnivora
Nancy-the-Hedgehog,Nancy the Hedgehog,"Portland, OR",Hedgehog,Creature,Hedgehog,Chordata,Mammalia,Eulipotyphla
Nibbles,Nibbles,"Asheville, NC",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Nibblet,Niblet,"Smithtown, NY",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Nick,Nick,"West Palm Beach, FL",Patagonian cavy,Creature,Patagonian Cavy,Chordata,Mammalia,Rodentia
Nippy,Nippy,"Philadelphia, PA",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Nostradamus,Nostradamus,"Birmingham, AL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Octoraro-Orphie,Octoraro Orphie,"Quarryville, PA",Stuffed Groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Odyssey-The-Otter,Odyssey the Otter,"Dayton, OH",Otter Mascot,Human Mascot,Otter,Chordata,Mammalia,Carnivora
Oil-Springs-Ollie,Oil Springs Ollie,"Oil Springs, ON",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Okanagan-Okie,Okanagan Okie,"Vernon, BC",Yellow-bellied marmot,Creature,Marmot,Chordata,Mammalia,Rodentia
Okie-the-mascot,Okie the Mascot,"Vernon, BC",Marmot mascot,Inanimate,Marmot,Chordata,Mammalia,Rodentia
Oklahoma-City-Zoo-Bears,Oklahoma City Zoo Bears,"Oklahoma City, OK",Bears,Creature,Bear,Chordata,Mammalia,Carnivora
Ophelia-and-Hollywood,Ophelia and Hollywood,"Cape May Court House, NJ",Ostriches,Creature,Ostrich,Chordata,Aves,Struthioniformes
Orion-the-deer,Orion the Deer,"Newport News, VA",Deer,Creature,Deer,Chordata,Mammalia,Artiodactyla
Oromocto-Ollie,Oromocto Ollie,"Oromocto, NB",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Oscar-the-Groundhog,Oscar the Groundhog,"Kutztown, PA",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Otis-hedgehog,Otis the Hedgehog,"West Orange, NJ",Hedgehog,Creature,Hedgehog,Chordata,Mammalia,Eulipotyphla
Palm-Beach-Pete,Palm Beach Pete,"West Palm Beach, FL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Palm-Beach-Petunia,Palm Beach Petunia,"West Palm Beach, FL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Parish-the-Nutria,Parish,"New Orleans, LA",Nutria,Creature,Nutria,Chordata,Mammalia,Rodentia
Parker,Parker,"Jacksonville, FL",Hedgehog,Creature,Hedgehog,Chordata,Mammalia,Eulipotyphla
Patty-Pagoda,Patty Pagoda,"Reading, PA",Groundhog mascot,Human Mascot,Groundhog,Chordata,Mammalia,Rodentia
Peanuts,Peanuts,"Philadelphia, PA",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
PeeWee,PeeWee,"Mile Square, VT",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Pennsburg-Polly-and-Pennsburg-Pete,Pennsburg Polly and Pennsburg Pete,"Pennsburg, PA",Groundhog Mascot/Stuffed Groundhog,Human Mascot,Groundhog,Chordata,Mammalia,Rodentia
Peter-the-Paca,Peter the Paca,"West Palm Beach, FL",Paca,Creature,Paca,Chordata,Mammalia,Rodentia
Phoebe-hedgehog,Phoebe,"Manchester, CT",Hedgehog,Creature,Hedgehog,Chordata,Mammalia,Eulipotyphla
Pierre-C-Shadeaux,Pierre C. Shadeaux,"New Iberia, LA",Nutria,Creature,Nutria,Chordata,Mammalia,Rodentia
Pinnelope,Pinnelope,"Jacksonville, FL",Hedgehog,Creature,Hedgehog,Chordata,Mammalia,Eulipotyphla
Pisgah-Penny,Pisgah Penny,"Brevard, NC",White Squirrel,Creature,Squirrel,Chordata,Mammalia,Rodentia
Pisgah-Pete,Pisgah Pete,"Brevard, NC",White Squirrel,Creature,Squirrel,Chordata,Mammalia,Rodentia
Pisgah-Piper,Pisgah Piper,"Brevard, NC",White Squirrel,Creature,Squirrel,Chordata,Mammalia,Rodentia
Polk-County-Paula,Polk County Paula,"Des Moines, IA",Groundhog mascot,Human Mascot,Groundhog,Chordata,Mammalia,Rodentia
Poor-Richard,Poor Richard,"York, PA",Stuffed Groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Poppy-the-Groundhog,Poppy the Groundhog,"Millersville, PA",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Poppy-the-Skunk,Poppy the Skunk,"Lancaster, OH",Skunk,Creature,Shunk,Chordata,Mammalia,Carnivora
Potato-and-Yam,Potato and Yam,"Chimney Rock, NC",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Potawatomi-Poppy,Potawatomi Poppy,"South Bend, IN",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Potomac-Phil,Potomac Phil,"Washington, DC",Taxidermy Groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
